Keys,Russian,English,Turkish,Spanish,German
personal_record,ЛИЧНЫЙ РЕКОРД,PERSONAL BEST,KİŞİSEL EN İYİ,MEJOR MARCA PERSONAL,PERSÖNLICHE BESTLEISTUNG
play,ИГРАТЬ,PLAY,OYNA,JUGAR,SPIELEN
played_games,СЫГРАНО ПАРТИЙ,GAMES PLAYED,OYNAYAN OYUNLAR,JUEGOS JUGADOS,GESPIELTE SPIELE
rating,РЕЙТИНГ,RATING,DERECELENDİRME,CALIFICACIÓN,BEWERTUNG
restart,РЕСТАРТ,RESTART,YENİDEN BAŞLAT,REINICIAR,NEUSTART
rules,ПРАВИЛА ИГРЫ,GAME RULES,OYUN KURALLARI,REGLAS DEL JUEGO,SPIELREGELN
score,ОЧКИ,SCORE,PUAN,PUNTUACIÓN,PUNKTE
sec,СЕК,SEC,SN,SEG,SEKUNDEN
settings,НАСТРОЙКИ,SETTINGS,AYARLAR,CONFIGURACIÓN,EINSTELLUNGEN
sound,ЗВУК,SOUND,SES,SONIDO,TON
time,ВРЕМЯ,TIME,ZAMAN,TIEMPO,ZEIT
time_bonus,БОНУС ЗА ВРЕМЯ,TIME BONUS,ZAMAN BONUSU,BONIFICACIÓN DE TIEMPO,ZEITBONUS
x2,УДВОИТЬ,DOUBLE,ÇİFT,DOBLE,DOPPELT
yes,ДА,YES,EVET,SÍ,JA
purchase,ПОКУПКА,PURCHASE,SATIN ALMAK,COMPRA,KAUFEN
rules,ПРАВИЛА ИГРЫ,RULES OF THE GAME ,OYUNUN KURALLARI ,REGLAS DEL JUEGO ,SPIELREGELN 
tut_stacks,Стопки,Stacks ,,,
tut_page1,"Цель - переместить все карты в стопки, раскладывая их по мастям от туза до короля. Т, 2, 3 … 10, В, Д, К","The goal is to move all the cards into piles, arranging them by suit from Ace to King. A, 2, 3… 10, J, Q, K ",,,
tut_page2,"Карты можно перемещать из столбца в столбец, в порядке убывания, чередуя красные и черные карты. ","Cards can be moved from column to column, in descending order, alternating red and black cards. ",,,
tut_page3,"Если нужных карт нет - просто нажми на колоду и здесь появятся дополнительные карты, которые помогут вам найти решение!","If you don't have the cards you need, just click on the deck and additional cards will appear to help you find a solution! ",,,
tut_page4,"Порядок сортировки в каждой стопке следующий: Т, 2, 3 … 9, 10, В, Д, К","The sorting order in each stack is as follows: T, 2, 3 … 9, 10,  J, Q, K ",,,
shop,МАГАЗИН,SHOP,SHOP(T),SHOP(Es),SHOP(G)
your_level,Твой уровень,Your level,Your level,Your level,Your level
ads_disable,Отключить рекламу,Disable ads,Disable ads,Disable ads,Disable ads
start_offer,Набор новичка,Start offer,Start offer,Start offer,Start offer
done,Выполнено,Done,Done,,
ach_first_step,Первый шаг,First step,,,
ach_desc_done_first_game,Пройти первую игру,Complete first game,,,
ach_master_soliter,Мастер Солитера,Soliter Master,,,
ach_desc_done_100_games,Выиграть 100 игр,Complete 100 games,,,
ach_without_mistake,Без права на ошибку,No room for error ,,,
ach_desc_without_undo,Выиграть игру не делая отмены хода,Win a game without undoing a move ,,,
ach_blitz_soliter,Блиц-пасьянс,Blitz-soliter,,,
ach_desc_done_faster_3min,Пройти игру менее чем за 3 минуты,Complete the game in less than 3 minutes ,,,
ach_gold_series,Золотая серия,Gold series,,,
ach_desc_win_5games,Выиграть 5 игр подряд,Win 5 games in a row ,,,
ach_my_atmosphere,Своя атмосфера,Its own atmosphere ,,,
ach_desc_open_3backs,Открыть 3 любых фона,Open any 3 backgrounds ,,,
ach_card_collector,Коллекционер карт,Card collector ,,,
ach_desc_open_3decks,Открыть 3 любые колоды,Open any 3 decks ,,,
ach_to_tooth,На зубок,To the tooth ,,,
ach_desc_win_without_help,Разложить пасьянс без использования подсказок,Play solitaire without using hints ,,,
ach_impossible_possible,Невозможное — возможно,The impossible is possible ,,,
ach_desc_without_turning_deck,Разложить пасьянс не переворачивая колоду,Play solitaire without turning the deck over ,,,
ach_this_my_life,Это моя жизнь,This is my life ,,,
ach_desc_play_30games_in_day,Разложить 30 партий за 1 день,Play 30 games in 1 day ,,,
ach_nutcracker,Щелкунчик,Nutcracker ,,,
ach_desc_500clics_in_game,Сделать 500 кликов за 1 игру,Make 500 clicks in 1 game ,,,
ach_no_fuss,Без суеты,No fuss ,,,
ach_desc_complete_less_20min,Пройти пасьянс менее чем за 20 минут,Complete Solitaire in less than 20 minutes ,,,
player_newbie,Новичок,Newbie,,,
player_gamer,Игрок,Gamer,,,
player_profi,Профи,Profi,,,
player_master,Мастер ,Master,,,
player_legend,Легенда,Legend,,,
experience,Опыт,Experience,,,
rating_personal,ЛИЧНЫЙ,Personal,,,
rating_global,МИРОВОЙ,Global,,,
rating_achivements,ДОСТИЖЕНИЯ,Achivements,,,
rating_stats,СТАТИСТИКА,Stats,,,
stats_score,Очков за всё время:,All-time score:,,,
stats_coins,Монеты за всё время:,All time coins: ,,,
stats_games,Игр сыграно:,Played games:,,,
stats_wins,Побед:,Wins:,,,
stats_losts,Поражений:,Losts:,,,
stats_percent_wins,Процент побед:,Win percentage: ,,,
stats_party_fastest,Самая быстрая партия:,Fastest game:,,,
stats_party_longest,Самая долгая партия:,Longest game: ,,,
